PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
07090,2,0,-64.0000,9.532022,0.906902,-2.161890,0.037115,-0.017583,0.003319,0.006210,-0.001075,-0.013287,0.282450,0.387858,-1.152022,0.095321,0.009063,-0.021618,1.000000,0.000031,-0.000005,-0.000066,0.999962,-0.000692,0.008695,-0.000707,-0.080039,0.996297,-0.081753,0.999848,-0.001427,-0.017388,0.001403,0.999998,-0.001397,0.017390,0.001372,0.999848
07091,2,0,-62.0000,9.533067,0.897386,-2.195185,0.011750,0.004215,0.010924,0.014632,-0.005776,-0.011712,0.272959,0.385396,-1.153583,0.095332,0.008970,-0.021948,1.000000,0.000073,-0.000029,-0.000059,0.999961,-0.000703,0.008747,-0.000636,-0.081214,1.002294,-0.073637,0.999846,-0.001285,-0.017492,0.001260,0.999998,-0.001417,0.017494,0.001395,0.999846
07092,2,0,-62.0000,9.516260,0.955634,-2.196549,-0.013859,-0.049016,0.000297,0.016178,-0.002824,-0.012240,0.273146,0.399227,-1.148364,0.095163,0.009552,-0.021963,1.000000,0.000081,-0.000014,-0.000061,0.999961,-0.000720,0.008788,-0.000539,-0.083001,1.006963,-0.062446,0.999845,-0.001090,-0.017574,0.001064,0.999998,-0.001448,0.017575,0.001429,0.999845
07093,2,0,-62.0000,9.468694,0.995218,-2.156911,-0.003218,-0.100404,-0.051089,0.000454,-0.008459,-0.008795,0.274078,0.391020,-1.144821,0.094688,0.009948,-0.021565,1.000000,0.000002,-0.000042,-0.000044,0.999960,-0.000729,0.008847,-0.000541,-0.084084,1.013747,-0.062726,0.999843,-0.001095,-0.017692,0.001069,0.999998,-0.001467,0.017694,0.001448,0.999842
07094,2,0,-62.0000,9.488368,0.949813,-2.178282,-0.000014,-0.049825,-0.031394,0.003295,-0.005136,-0.013349,0.274336,0.385213,-1.149642,0.094885,0.009492,-0.021780,1.000000,0.000016,-0.000026,-0.000067,0.999960,-0.000763,0.008900,-0.000544,-0.088036,1.019786,-0.063108,0.999841,-0.001101,-0.017798,0.001074,0.999998,-0.001536,0.017799,0.001517,0.999840
07095,2,0,-62.0000,9.525512,0.879012,-2.154667,0.057188,0.007372,-0.007214,0.008022,-0.008763,-0.011154,0.279148,0.393762,-1.153513,0.095257,0.008786,-0.021542,1.000000,0.000040,-0.000044,-0.000056,0.999959,-0.000774,0.008965,-0.000507,-0.089218,1.027245,-0.058897,0.999839,-0.001028,-0.017928,0.001000,0.999998,-0.001557,0.017929,0.001539,0.999838
07096,2,0,-62.0000,9.528453,0.890835,-2.177491,0.034704,0.004976,0.001855,0.020022,-0.015818,-0.011952,0.279977,0.388460,-1.147440,0.095287,0.008905,-0.021766,1.000000,0.000100,-0.000079,-0.000060,0.999959,-0.000761,0.009065,-0.000409,-0.087697,1.038721,-0.047650,0.999835,-0.000832,-0.018128,0.000804,0.999999,-0.001530,0.018129,0.001516,0.999835
07097,2,0,-62.0000,9.536785,0.934977,-2.210537,-0.007500,-0.023750,0.021452,0.033549,-0.006697,-0.012447,0.270246,0.392566,-1.155962,0.095369,0.009348,-0.022101,1.000000,0.000168,-0.000033,-0.000062,0.999958,-0.000752,0.009123,-0.000246,-0.086415,1.045382,-0.028932,0.999833,-0.000505,-0.018244,0.000477,0.999999,-0.001508,0.018245,0.001499,0.999832
07098,2,0,-60.0000,9.515690,0.949790,-2.235133,-0.038858,-0.028552,0.007901,0.032010,-0.009641,-0.011921,0.280505,0.393348,-1.155080,0.095159,0.009496,-0.022345,1.000000,0.000160,-0.000048,-0.000060,0.999957,-0.000737,0.009194,-0.000096,-0.084516,1.053521,-0.011729,0.999831,-0.000205,-0.018386,0.000178,0.999999,-0.001475,0.018387,0.001471,0.999830
07099,2,0,-60.0000,9.504098,1.040017,-2.247456,-0.084206,-0.108089,0.007792,0.021776,-0.010822,-0.006120,0.279148,0.397254,-1.152761,0.095043,0.010400,-0.022468,1.000000,0.000109,-0.000054,-0.000031,0.999957,-0.000705,0.009259,0.000002,-0.080753,1.061003,-0.000542,0.999829,-0.000009,-0.018517,-0.000017,0.999999,-0.001409,0.018517,0.001409,0.999828
07100,2,0,-59.0000,9.489413,1.006691,-2.129584,0.031578,-0.121931,-0.036101,0.013007,-0.009800,-0.005462,0.287379,0.389020,-1.152663,0.094895,0.010066,-0.021291,1.000000,0.000065,-0.000049,-0.000027,0.999956,-0.000683,0.009319,0.000049,-0.078265,1.067918,0.004874,0.999826,0.000085,-0.018638,-0.000111,0.999999,-0.001366,0.018637,0.001368,0.999825
07101,2,0,-58.0000,9.535560,0.936173,-2.215309,-0.007201,-0.024824,0.021450,-0.002844,-0.016739,-0.003751,0.279272,0.397158,-1.159055,0.095358,0.009360,-0.022145,1.000000,-0.000014,-0.000084,-0.000019,0.999956,-0.000659,0.009407,0.000021,-0.075486,1.078014,0.001742,0.999823,0.000030,-0.018814,-0.000055,0.999999,-0.001317,0.018814,0.001318,0.999822
07102,2,0,-58.0000,9.505815,0.907257,-2.208125,0.003744,-0.001169,-0.011696,0.008354,-0.005433,-0.003044,0.286738,0.392651,-1.150259,0.095059,0.009072,-0.022078,1.000000,0.000042,-0.000027,-0.000015,0.999955,-0.000640,0.009443,0.000060,-0.073242,1.082155,0.006158,0.999822,0.000107,-0.018886,-0.000132,0.999999,-0.001278,0.018886,0.001280,0.999821
07103,2,0,-57.0000,9.526792,0.850131,-2.262467,-0.018467,0.071447,0.015629,0.023231,-0.008954,-0.000926,0.278547,0.398477,-1.156381,0.095269,0.008503,-0.022619,1.000000,0.000116,-0.000045,-0.000005,0.999955,-0.000586,0.009490,0.000159,-0.066982,1.087528,0.017629,0.999820,0.000308,-0.018980,-0.000330,0.999999,-0.001169,0.018979,0.001175,0.999819
07104,2,0,-56.0000,9.562292,0.943240,-2.237954,-0.020634,-0.025321,0.053138,0.033333,-0.009396,0.001861,0.280463,0.397292,-1.155321,0.095624,0.009437,-0.022373,1.000000,0.000167,-0.000047,0.000009,0.999954,-0.000509,0.009535,0.000301,-0.057982,1.092720,0.033951,0.999818,0.000592,-0.019070,-0.000612,0.999999,-0.001012,0.019070,0.001023,0.999818
07105,2,0,-56.0000,9.523493,1.024780,-2.230370,-0.052289,-0.105138,0.021328,0.022575,-0.002525,0.001499,0.277093,0.391464,-1.144266,0.095235,0.010251,-0.022301,1.000000,0.000113,-0.000013,0.000007,0.999954,-0.000457,0.009548,0.000398,-0.051902,1.094154,0.045082,0.999817,0.000787,-0.019095,-0.000804,0.999999,-0.000906,0.019095,0.000921,0.999817
07106,2,0,-56.0000,9.520096,1.013044,-2.209654,-0.029642,-0.103260,0.012256,0.015450,-0.011026,0.005419,0.280434,0.394706,-1.157821,0.095202,0.010135,-0.022091,1.000000,0.000077,-0.000055,0.000027,0.999954,-0.000381,0.009593,0.000438,-0.043237,1.099347,0.049825,0.999816,0.000869,-0.019186,-0.000884,0.999999,-0.000754,0.019185,0.000771,0.999816
07107,2,0,-56.0000,9.512480,0.958085,-2.211799,-0.012720,-0.053012,0.000278,0.010501,-0.009785,0.007207,0.282236,0.392299,-1.156233,0.095126,0.009585,-0.022113,1.000000,0.000053,-0.000049,0.000036,0.999953,-0.000305,0.009629,0.000467,-0.034393,1.103404,0.053178,0.999814,0.000928,-0.019257,-0.000940,0.999999,-0.000600,0.019256,0.000618,0.999814
07108,2,0,-56.0000,9.542948,0.975742,-2.254195,-0.048903,-0.055102,0.041038,0.012660,-0.013800,0.007113,0.274875,0.395856,-1.160543,0.095431,0.009762,-0.022535,1.000000,0.000063,-0.000069,0.000036,0.999953,-0.000219,0.009684,0.000500,-0.024592,1.109722,0.057108,0.999812,0.000997,-0.019367,-0.001005,0.999999,-0.000429,0.019367,0.000449,0.999812
07109,2,0,-56.0000,9.505872,0.891515,-2.247940,-0.021131,0.019064,-0.004077,0.022365,-0.004896,0.005474,0.298270,0.393742,-1.154934,0.095059,0.008920,-0.022476,1.000000,0.000112,-0.000024,0.000027,0.999953,-0.000145,0.009700,0.000591,-0.015997,1.111555,0.067531,0.999811,0.001178,-0.019399,-0.001184,0.999999,-0.000279,0.019399,0.000302,0.999812
07110,2,0,-55.0000,9.529875,0.887069,-2.246839,-0.012155,0.021219,0.018544,0.023276,-0.008734,0.006543,0.278948,0.393536,-1.153968,0.095299,0.008876,-0.022463,1.000000,0.000116,-0.000044,0.000033,0.999952,-0.000060,0.009734,0.000686,-0.006103,1.115431,0.078557,0.999810,0.001371,-0.019467,-0.001373,0.999999,-0.000106,0.019467,0.000133,0.999810
07111,2,0,-55.0000,9.536258,0.907878,-2.291126,-0.057219,0.016705,0.036686,0.025607,-0.010912,0.005331,0.276933,0.392322,-1.149993,0.095364,0.009084,-0.022905,1.000000,0.000128,-0.000055,0.000027,0.999952,0.000028,0.009778,0.000790,0.004127,1.120487,0.090516,0.999808,0.001579,-0.019555,-0.001578,0.999999,0.000072,0.019555,-0.000041,0.999809
07112,2,0,-56.0000,9.516192,0.953280,-2.271612,-0.060304,-0.034346,0.016965,0.023451,-0.006894,0.005422,0.277485,0.391864,-1.152627,0.095162,0.009538,-0.022712,1.000000,0.000117,-0.000034,0.000027,0.999952,0.000106,0.009804,0.000868,0.013085,1.123423,0.099607,0.999806,0.001738,-0.019606,-0.001734,0.999998,0.000228,0.019607,-0.000194,0.999808
07113,2,0,-56.0000,9.486264,0.966129,-2.187501,0.004304,-0.079078,-0.029973,0.003639,-0.015358,0.004286,0.281410,0.387911,-1.147271,0.094864,0.009664,-0.021868,1.000000,0.000018,-0.000077,0.000021,0.999951,0.000171,0.009870,0.000864,0.020623,1.131065,0.099214,0.999804,0.001731,-0.019740,-0.001725,0.999998,0.000360,0.019740,-0.000326,0.999805
07114,2,0,-56.0000,9.544519,0.837004,-2.217761,0.039297,0.050995,0.021576,-0.002471,-0.012862,0.001509,0.282274,0.386326,-1.140704,0.095447,0.008370,-0.022172,1.000000,-0.000012,-0.000064,0.000008,0.999950,0.000212,0.009931,0.000829,0.025223,1.138064,0.095247,0.999801,0.001662,-0.019862,-0.001654,0.999999,0.000440,0.019862,-0.000407,0.999803
07115,2,0,-58.0000,9.573978,0.823230,-2.304156,-0.025169,0.095171,0.068518,0.013096,-0.009038,-0.000857,0.285474,0.387349,-1.153224,0.095741,0.008233,-0.023037,1.000000,0.000065,-0.000045,-0.000004,0.999950,0.000254,0.009979,0.000879,0.030124,1.143450,0.101057,0.999799,0.001763,-0.019956,-0.001753,0.999998,0.000526,0.019957,-0.000491,0.999801
07116,2,0,-59.0000,9.577037,0.833843,-2.326707,-0.047629,0.092789,0.077592,0.025873,-0.007987,-0.001527,0.282541,0.390936,-1.158309,0.095771,0.008341,-0.023262,1.000000,0.000129,-0.000040,-0.000008,0.999949,0.000306,0.010024,0.001005,0.036173,1.148630,0.115584,0.999797,0.002017,-0.020046,-0.002005,0.999998,0.000631,0.020047,-0.000591,0.999799
07117,2,0,-60.0000,9.584334,0.887659,-2.326581,-0.064422,0.041986,0.089558,0.022386,-0.004547,-0.004885,0.278918,0.387824,-1.153209,0.095844,0.008877,-0.023263,1.000000,0.000112,-0.000023,-0.000024,0.999949,0.000332,0.010058,0.001107,0.039370,1.152490,0.127280,0.999795,0.002221,-0.020113,-0.002208,0.999997,0.000687,0.020115,-0.000642,0.999797
